CODIGO,DESCRIPCION,CATEGORIA,COSTO,PRECIO,MEDIDA
vn-rj,Rollo Vinil de brillante para corte reflexlite 61cm x 50m - Color Rojo,cintas seguridad,150.00,"200,00",rollo
vn-ng,Rollo Vinil de brillante para corte reflexlite 61cm x 50m - Color Negro,cintas seguridad,150.00,"200,00",rollo
VL-RE-VR,Vara luminosa recargable color verde,proteccion vial,30.00,"30,00",20x30cm
VL-RE-RJ,Vara luminosa recargable color rojo,proteccion vial,40.00,"40,00",20x30cm
VL-PL-VR,Vara luminosa a pilas color verde,proteccion vial,15.00,"14,00",20x30cm
VL-PL-RJ,Vara luminosa a pilas color rojo,proteccion vial,15.00,"15,00",20x30cm
TRR-6,"Señal para obras lamina: reflectivo grado ingenieria ( gi) , soporte: triplay 6 mm pictograma: vinil troquelado",obras,0.00,"0,00",20x30cm
trr,"Señal para obras lamina: Fondo reflectivo grado ingenieria ( gi) , soporte: triplay 4 mm pictograma: vinil rotulado",obras,0.00,"0,00",20x30cm
trq,"Tranquera para obras impresion vinil laminado , con estructura de madera liston 2 x2""",obras,170.00,"170,00",20x30cm
TR-3M-RJ,Tacha reflectiva - ojo de gato marca 3M - color rojo 10 cm largo x 9 cm ancho 1.6 cm alto,proteccion vial,6.00,"10,00",und
TR-3M-RB,Tacha reflectiva - ojo de gato marca 3M - color rojo / blanco 10 cm largo x 9 cm ancho 1.6 cm alto,proteccion vial,6.00,"10,00",und
TR-3M-BL,Tacha reflectiva - ojo de gato marca 3M - color blanco 10 cm largo x 9 cm ancho 1.6 cm alto,proteccion vial,6.00,"10,00",und
TR-3M-AM,Tacha reflectiva - ojo de gato marca 3M - color amarillo 10 cm largo x 9 cm ancho 1.6 cm alto,proteccion vial,6.00,"10,00",und
tr,Señal para obras vinil laminado con soporte triplay 4 mm,obras,"15,00","25,00",20x30cm
TL55,TOPELLANTAS 55X15X10CM,proteccion vial,"45,00","70,00",und
TJ-TR-2X2,"Señal tijeral doble cara - estructura de madera con liston 2"" x2"" con patas de 30 cm\ + soporte triplay 4 mm + impresion vinil laminado ( incluye 2 visagras de 3"" )",obras,300.00,"300,00",20x30cm
TJ-BN-1X2,"Señal tijeral doble cara - estructura de madera con liston 1 x2"" + banner 12 oz templado incluye ( 2 visagras )",obras,33.00,"80,00",20x30cm
TIJ,"Letrero para obras con estructura de madera Tijeral , con liston de 1x2"" + triplay 4mm + pictograma vinil laminado + 2 visagras - Una cara",obras,0.00,"80,00",und
tc-sm,Taco de seguridad altura: 19 cm ancho: 20 cm profundidad: 28 cm,proteccion vial,0.00,"10,00",und
susfot,Señal fotoluminiscente soporte: compuesto de aluminio 4 mm pictograma: vinil rotulado,fotoluminiscente,0.00,0.00,20x30cm
susf,Senal seguridad fotoluminiscente soporte: compuesto de aluminio 4mm lamina: fotoluminiscente de 5hrs pictograma: Impresión digital + sobrelaminado ( protección UV),fotoluminiscente,"0,00","55,00",60x40cm
SUS-DC,Señal vinil arclad laminado c/ soporte compuesto de aluminio ( sustrato de aluminio ) de 4 mm espesor - DOBLE CARA,seguridad,0.00,0.00,20x30cm
SUS,Señal vinil arclad laminado c/ soporte compuesto de aluminio ( sustrato de aluminio ) de 4 mm espesor,seguridad,0.00,0.00,20x30cm
STT,Sticker vinil arclad transparente laminado,seguridad,0.00,"3,00",20x30cm
ST,Señal sticker vinil arclad laminado (protección UV),fotoluminiscente,6.00,6.00,20x30cm
SHIP60X90-R,Señal reguladora soporte: sustrato de aluminio de 4 mm lamina: reflectiva tipo iv alta intensidad prismatico ( hip) pictograma: vinil rotulado,viales,0.00,0.00,20x30cm
